status,yolo_conf,box_x1,box_y1,box_x2,box_y2,box_w,box_h,n_measured,n_valid,measured_pixel,std_pixel,measured_mm,image,specimen_id,is_ng,true_mm,split,error_mm,predicted_ng
ok,0.9354543089866638,1125,1292,1323,2029,198,737,31,28,578.4316187084119,0.3376291353380346,20.018680596986723,20260916_155346.jpg,S06,False,20.012,val,0.00668059698672252,False
ok,0.9358441829681396,1125,1292,1323,2029,198,737,31,30,578.7659100590995,0.3363414418324666,20.030249936489106,20260916_155347.jpg,S06,False,20.012,val,0.018249936489105778,True
ok,0.9360122084617615,1125,1292,1323,2029,198,737,31,30,578.4362816170612,0.42148939828406023,20.018841973501917,20260916_155348.jpg,S06,False,20.012,val,0.006841973501916954,False
ok,0.9359076023101807,1125,1292,1323,2029,198,737,31,29,578.3917199711735,0.4360584037219851,20.017299759475144,20260916_155350.jpg,S06,False,20.012,val,0.005299759475143162,False
ok,0.9350822567939758,1126,1291,1324,2028,198,737,31,28,578.5167430930667,0.4706291002192698,20.021626628656335,20260916_155351.jpg,S06,False,20.012,val,0.009626628656334901,False
ok,0.9340522289276123,1125,1291,1323,2029,198,738,31,28,578.8767722421147,0.32892542666104646,20.034086716084634,20260916_155352.jpg,S06,False,20.012,val,0.022086716084633196,True
ok,0.9359306693077087,1125,1291,1323,2028,198,737,31,29,578.4218747889001,0.3208225317106941,20.01834337404427,20260916_155353.jpg,S06,False,20.012,val,0.006343374044270433,False
ok,0.93568354845047,1125,1291,1323,2029,198,738,31,28,578.8435787089339,0.2699591204456271,20.03293793597452,20260916_155359.jpg,S06,False,20.012,val,0.020937935974519206,True
ok,0.9365571141242981,1125,1291,1323,2028,198,737,31,30,578.8469270975263,0.21180416365560975,20.033053818854324,20260916_155400.jpg,S06,False,20.012,val,0.021053818854323225,True
ok,0.9371233582496643,1124,1293,1322,2029,198,736,31,28,578.3843424859188,0.42736085437830784,20.017044435395082,20260916_155402.jpg,S06,False,20.012,val,0.005044435395081592,False
ok,0.9352904558181763,1125,1292,1323,2029,198,737,31,29,578.7767856534647,0.3465830872910865,20.030626325059263,20260916_155403.jpg,S06,False,20.012,val,0.018626325059262427,True
ok,0.9365795850753784,1124,1292,1322,2029,198,737,31,29,578.5838709598029,0.4394152858105205,20.023949826904644,20260916_155404.jpg,S06,False,20.012,val,0.011949826904643857,False
ok,0.9372240304946899,1124,1292,1322,2029,198,737,31,27,578.809178735949,0.2892328919615393,20.03174740273004,20260916_155406.jpg,S06,False,20.012,val,0.019747402730040164,True
ok,0.9362051486968994,1125,1292,1322,2029,197,737,31,29,579.0,0.264351113265533,20.038351450317688,20260916_155407.jpg,S06,False,20.012,val,0.026351450317687153,True
ok,0.9368550777435303,1092,1167,1297,1909,205,742,31,31,593.5738254122882,0.4130078377725145,20.542730440968814,20260916_155448.jpg,S07,False,20.014,val,0.5287304409688147,True
ok,0.935566782951355,1092,1167,1297,1909,205,742,31,30,593.4693076761332,0.3613426619041192,20.539113233490635,20260916_155449.jpg,S07,False,20.014,val,0.5251132334906359,True
ok,0.9367209672927856,1092,1167,1297,1908,205,741,31,30,593.2795069152769,0.3566993179849251,20.53254450404059,20260916_155451.jpg,S07,False,20.014,val,0.5185445040405909,True
ok,0.9353578090667725,1092,1167,1297,1908,205,741,31,30,593.1190792338876,0.36668947287452536,20.526992334330682,20260916_155452.jpg,S07,False,20.014,val,0.5129923343306828,True
